Data,Operation,Resource_0,Resource_1,Resource_2,Resource_3,Resource_4,Resource_5,Chosen_Resource,Adress
81972703,2,55,16,33,39,70,18,1,10.0.0.4
99318774,1,71,43,8,88,61,67,2,10.0.0.5
33295597,2,17,95,26,0,33,47,3,10.0.0.6
97893323,2,19,33,42,71,81,38,1,10.0.0.4
31271343,1,56,44,40,39,31,61,4,10.0.0.7
59642099,2,47,36,99,42,18,88,1,10.0.0.4
8046832,2,58,47,55,76,45,13,5,10.0.0.8
55239765,2,99,83,56,49,9,7,5,10.0.0.8
82415487,2,19,74,55,10,25,15,3,10.0.0.6
86219528,2,68,31,92,20,56,44,3,10.0.0.6
47906114,1,85,5,66,19,89,71,2,10.0.0.5
65271199,2,43,24,29,4,50,29,3,10.0.0.6
95969623,1,66,86,85,40,51,32,4,10.0.0.7
19505087,2,78,66,80,49,22,5,5,10.0.0.8
92890450,2,47,22,47,100,30,28,1,10.0.0.4
47891673,1,57,91,52,61,22,8,4,10.0.0.7
22110957,2,77,6,62,54,64,64,1,10.0.0.4
9507269,2,25,34,2,18,26,73,3,10.0.0.6
45248018,2,88,32,100,60,48,19,5,10.0.0.8
98639129,1,34,5,8,56,15,19,2,10.0.0.5
14339961,1,0,48,36,87,11,57,0,10.0.0.3
86849819,1,67,91,67,43,62,44,4,10.0.0.7
97319863,2,4,96,27,56,39,45,5,10.0.0.8
47707018,1,32,13,97,62,3,90,4,10.0.0.7
15831341,2,29,49,11,67,95,94,1,10.0.0.4
35607152,2,3,49,79,8,1,49,3,10.0.0.6
74310547,1,2,62,78,64,20,63,0,10.0.0.3
93402549,2,74,31,14,90,27,35,1,10.0.0.4
58149658,1,73,6,5,38,45,52,2,10.0.0.5
3229544,1,81,80,79,12,50,33,4,10.0.0.7
28523815,2,80,15,73,16,10,11,5,10.0.0.8
40268024,2,94,33,31,57,10,27,5,10.0.0.8
70008884,2,48,3,97,30,3,60,1,10.0.0.4
15725033,2,37,98,78,0,90,25,3,10.0.0.6
47773600,1,20,20,12,25,17,22,2,10.0.0.5
37209233,1,22,9,66,79,46,35,0,10.0.0.3
49101073,1,97,26,81,82,96,30,2,10.0.0.5
45698947,1,53,84,51,65,4,33,4,10.0.0.7
27875587,1,83,63,69,91,76,81,2,10.0.0.5
30449564,2,85,69,28,61,53,6,5,10.0.0.8
12677950,1,45,42,44,36,72,66,2,10.0.0.5
8993806,2,49,25,91,25,22,54,1,10.0.0.4
69513374,2,32,76,44,52,66,4,5,10.0.0.8
63034438,1,1,46,85,4,92,66,0,10.0.0.3
43915257,2,85,8,4,22,5,86,1,10.0.0.4
29487486,1,62,27,98,74,69,28,0,10.0.0.3
56315917,2,29,67,47,63,0,22,5,10.0.0.8
16369705,2,26,20,91,63,40,67,1,10.0.0.4
66510927,1,36,40,81,45,42,53,0,10.0.0.3
67206914,1,17,72,71,62,71,80,0,10.0.0.3
18987589,1,58,29,73,28,17,77,4,10.0.0.7
3325789,2,83,4,3,24,38,65,1,10.0.0.4
95258522,2,70,66,73,13,9,98,3,10.0.0.6
58021583,1,71,9,80,80,94,41,0,10.0.0.3
94188306,1,94,7,17,46,73,64,2,10.0.0.5
27643989,2,29,29,40,28,21,4,5,10.0.0.8
11714686,1,48,75,94,27,15,80,4,10.0.0.7
82427840,1,5,18,51,87,81,3,0,10.0.0.3
77688923,2,50,23,96,65,88,69,1,10.0.0.4
79004783,2,85,32,37,94,60,46,1,10.0.0.4
34716922,1,87,50,91,25,38,15,4,10.0.0.7
50225351,1,82,15,12,53,28,77,2,10.0.0.5
46790773,2,65,93,64,26,92,50,3,10.0.0.6
3029700,2,10,7,37,77,92,50,1,10.0.0.4
8687056,2,28,72,54,63,84,5,5,10.0.0.8
45787871,1,55,3,6,84,0,19,4,10.0.0.7
20662656,2,85,80,31,85,44,83,1,10.0.0.4
33494043,2,16,27,76,19,66,91,3,10.0.0.6
68841545,2,99,24,43,47,65,0,5,10.0.0.8
58558562,1,48,9,63,100,14,27,4,10.0.0.7
49320104,2,63,48,72,12,66,95,3,10.0.0.6
43820244,1,59,46,80,38,36,14,4,10.0.0.7
98250172,1,39,0,35,80,70,35,2,10.0.0.5
84516715,1,0,81,51,54,70,25,0,10.0.0.3
50333059,1,51,70,74,35,94,90,0,10.0.0.3
94506551,1,27,64,62,70,23,45,4,10.0.0.7
88492036,2,49,53,45,55,19,0,5,10.0.0.8
68451274,2,78,7,15,58,47,14,1,10.0.0.4
37954745,2,19,17,93,50,41,67,1,10.0.0.4
54191010,2,94,26,63,12,85,63,3,10.0.0.6
51491847,1,69,14,92,36,30,3,4,10.0.0.7
70146418,2,71,24,74,22,97,41,3,10.0.0.6
45756470,1,1,3,83,47,15,86,0,10.0.0.3
76896621,1,43,91,45,1,96,81,0,10.0.0.3
93826944,2,28,69,65,83,29,11,5,10.0.0.8
84913910,1,78,81,1,11,13,12,2,10.0.0.5
97629520,2,77,7,2,72,32,33,1,10.0.0.4
63067063,1,8,26,67,46,80,22,0,10.0.0.3
86034763,1,57,57,64,99,54,63,4,10.0.0.7
89986530,2,55,18,96,73,54,52,1,10.0.0.4
87023032,1,80,72,45,8,97,64,2,10.0.0.5
73616922,2,25,59,84,16,80,4,5,10.0.0.8
81775448,1,94,38,63,41,79,56,2,10.0.0.5
51681104,1,26,25,19,20,13,77,4,10.0.0.7
35808068,1,95,18,78,57,50,13,4,10.0.0.7
38024912,1,53,1,7,4,13,32,2,10.0.0.5
30994501,1,27,88,75,80,8,47,4,10.0.0.7
18296514,2,10,98,18,20,17,39,3,10.0.0.6
61068104,1,68,11,57,20,79,96,2,10.0.0.5
73630731,1,53,61,53,6,89,27,0,10.0.0.3
69265759,1,58,82,42,24,88,65,2,10.0.0.5
5700245,2,86,56,50,72,64,74,1,10.0.0.4
63021526,2,88,30,31,8,74,24,3,10.0.0.6
39732625,1,100,19,36,18,29,75,4,10.0.0.7
24605823,1,45,72,27,32,31,59,2,10.0.0.5
93121971,2,74,79,11,42,99,77,3,10.0.0.6
36904981,2,80,69,63,51,89,69,3,10.0.0.6
98376382,2,17,40,75,47,62,87,1,10.0.0.4
51181283,2,95,37,12,71,47,72,1,10.0.0.4
56612702,2,1,2,37,20,10,39,1,10.0.0.4
34348266,2,68,79,42,98,21,76,5,10.0.0.8
91095451,1,82,21,61,51,90,50,2,10.0.0.5
31575862,2,69,64,67,53,34,63,3,10.0.0.6
79444633,1,93,53,94,86,51,28,4,10.0.0.7
4085044,2,93,76,38,5,38,99,3,10.0.0.6
57785106,2,72,90,5,94,56,10,5,10.0.0.8
24444801,2,84,92,32,36,56,62,3,10.0.0.6
55438582,1,66,60,4,48,96,33,2,10.0.0.5
94712872,2,62,20,7,91,75,83,1,10.0.0.4
16416151,1,40,34,22,53,46,84,2,10.0.0.5
49923735,2,15,90,23,91,62,96,1,10.0.0.4
88799890,2,92,58,5,14,27,52,3,10.0.0.6
17773594,2,93,62,63,11,87,4,5,10.0.0.8
76916072,1,11,7,76,35,21,27,0,10.0.0.3
8706220,2,19,96,100,57,95,15,5,10.0.0.8
21579171,2,76,74,86,43,85,20,5,10.0.0.8
39966324,1,90,22,71,21,67,59,4,10.0.0.7
79489802,2,30,1,46,72,17,7,1,10.0.0.4
72394775,2,73,36,53,26,29,53,3,10.0.0.6
57291503,2,32,81,65,36,12,11,5,10.0.0.8
24733601,1,63,97,80,37,24,83,4,10.0.0.7
7589800,1,99,80,82,64,55,22,4,10.0.0.7
33700284,1,14,54,74,90,89,31,0,10.0.0.3
76535246,1,19,82,46,22,99,5,0,10.0.0.3
82663099,1,70,81,96,35,48,54,4,10.0.0.7
52751852,2,85,1,12,49,28,50,1,10.0.0.4
9883374,1,36,26,66,16,25,20,4,10.0.0.7
55008473,1,47,38,7,100,56,51,2,10.0.0.5
73575862,1,78,23,73,74,62,13,4,10.0.0.7
20751723,1,28,55,57,40,57,96,0,10.0.0.3
37471333,1,45,69,59,8,73,15,0,10.0.0.3
56304672,2,30,80,65,12,11,78,3,10.0.0.6
76690982,1,32,5,95,90,10,12,4,10.0.0.7
12983804,2,70,39,23,71,9,36,5,10.0.0.8
58179649,2,31,86,46,3,84,2,5,10.0.0.8
45562735,2,79,72,10,37,16,66,3,10.0.0.6
12566544,2,10,51,18,38,46,56,3,10.0.0.6
52273966,1,58,84,44,70,54,73,2,10.0.0.5
83591589,2,0,60,31,71,17,54,5,10.0.0.8
25273028,2,30,13,68,79,10,55,1,10.0.0.4
13678935,1,35,11,94,37,56,14,0,10.0.0.3
55222599,1,3,74,61,40,80,53,0,10.0.0.3
11203123,1,39,68,52,1,21,61,4,10.0.0.7
29829065,1,81,13,50,46,44,63,4,10.0.0.7
37193603,1,22,13,34,26,23,50,0,10.0.0.3
76112239,1,86,94,17,29,6,69,4,10.0.0.7
1747999,2,55,45,43,4,81,27,3,10.0.0.6
3019533,2,54,92,93,50,51,26,5,10.0.0.8
79831767,1,49,38,17,70,64,55,2,10.0.0.5
65453840,2,48,66,39,72,49,73,1,10.0.0.4
4612760,1,98,80,64,23,5,94,4,10.0.0.7
74343454,1,45,59,69,78,24,62,4,10.0.0.7
66928681,2,32,58,3,33,7,63,3,10.0.0.6
4752897,2,81,90,65,32,20,81,3,10.0.0.6
5531146,1,46,35,44,5,36,32,4,10.0.0.7
19206250,1,72,92,3,12,73,8,2,10.0.0.5
90984619,2,58,49,41,50,36,74,1,10.0.0.4
55898767,2,1,47,31,55,22,44,5,10.0.0.8
24271117,2,75,86,67,17,53,72,3,10.0.0.6
66587718,1,5,33,18,24,65,58,0,10.0.0.3
44335655,1,69,93,46,69,56,6,2,10.0.0.5
4063971,2,15,45,91,48,1,99,1,10.0.0.4
88695617,1,82,64,30,43,11,41,4,10.0.0.7
89872300,1,84,34,10,86,64,46,2,10.0.0.5
94600854,1,50,59,9,35,12,2,2,10.0.0.5
66524240,1,60,58,62,4,60,66,0,10.0.0.3
4908245,2,99,100,96,42,83,50,3,10.0.0.6
10529384,2,22,86,88,7,73,2,5,10.0.0.8
52473621,1,88,69,68,57,23,26,4,10.0.0.7
4265726,2,75,15,47,60,86,76,1,10.0.0.4
8043429,2,61,96,75,23,21,70,3,10.0.0.6
33080728,1,22,40,1,6,24,95,2,10.0.0.5
47410058,1,31,85,2,87,61,12,2,10.0.0.5
63086865,1,96,68,5,53,69,86,2,10.0.0.5
67326863,1,67,47,22,17,77,87,2,10.0.0.5
98402648,1,40,11,14,35,88,87,2,10.0.0.5
770756,1,100,85,50,90,44,26,4,10.0.0.7
27022715,1,76,50,51,88,15,35,4,10.0.0.7
79672578,1,30,62,72,19,21,76,4,10.0.0.7
76927247,2,25,76,80,12,0,2,5,10.0.0.8
10487646,2,10,17,64,18,14,95,1,10.0.0.4
82978933,2,94,100,99,88,93,7,5,10.0.0.8
69835832,2,26,86,93,88,45,93,1,10.0.0.4
53906118,1,4,13,59,92,83,12,0,10.0.0.3
84523695,1,5,7,94,89,31,30,0,10.0.0.3
9802074,2,56,23,3,14,60,59,3,10.0.0.6
37418047,1,18,40,85,60,49,96,0,10.0.0.3
79159850,2,56,36,29,36,71,65,1,10.0.0.4
44819138,1,36,91,34,22,47,30,2,10.0.0.5
58530975,1,92,27,47,25,78,98,2,10.0.0.5
52254274,2,10,56,18,73,53,38,5,10.0.0.8
31760694,2,6,5,26,0,20,43,3,10.0.0.6
24213538,1,17,14,38,33,70,63,0,10.0.0.3
37302000,2,99,53,92,89,58,71,1,10.0.0.4
96537228,1,18,64,48,4,41,52,0,10.0.0.3
86880918,1,2,9,63,20,84,80,0,10.0.0.3
80265136,2,30,14,23,30,97,66,1,10.0.0.4
85028187,2,81,53,30,87,50,31,5,10.0.0.8
40016266,2,73,24,55,37,22,91,1,10.0.0.4
52457414,1,62,62,90,75,86,3,0,10.0.0.3
21419607,2,47,53,62,44,90,58,3,10.0.0.6
44247153,2,55,97,12,52,6,98,3,10.0.0.6
85650533,1,54,47,12,35,65,73,2,10.0.0.5
46445610,2,9,97,94,8,82,3,5,10.0.0.8
19850604,1,89,1,77,100,63,98,4,10.0.0.7
4705858,1,23,57,9,10,78,39,2,10.0.0.5
74880584,2,5,25,35,100,55,5,5,10.0.0.8
61673076,1,49,14,56,10,90,35,0,10.0.0.3
31347633,2,16,12,67,27,12,77,1,10.0.0.4
43970740,1,63,74,18,75,15,51,4,10.0.0.7
75557111,1,7,53,87,61,13,61,0,10.0.0.3
62703638,2,37,34,29,80,85,6,5,10.0.0.8
24256430,2,24,57,55,15,2,91,3,10.0.0.6
57472165,2,57,25,73,94,81,79,1,10.0.0.4
80000879,2,93,75,26,81,98,26,5,10.0.0.8
96865790,1,63,61,12,95,65,37,2,10.0.0.5
42481601,2,94,48,21,67,41,63,1,10.0.0.4
95895446,1,69,63,0,75,88,31,2,10.0.0.5
93233102,2,7,10,36,38,20,84,1,10.0.0.4
91591753,2,53,91,41,66,63,62,5,10.0.0.8
81331899,2,63,70,13,77,32,71,1,10.0.0.4
7977756,2,23,13,91,75,77,56,1,10.0.0.4
6474748,2,73,90,41,35,71,93,3,10.0.0.6
47240762,1,68,23,24,33,75,67,2,10.0.0.5
25202321,2,43,81,25,34,88,33,5,10.0.0.8
69866370,1,21,88,19,90,28,48,2,10.0.0.5
47663862,1,43,64,43,49,75,9,0,10.0.0.3
90382509,2,3,43,91,94,36,55,1,10.0.0.4
76521564,1,74,88,68,95,1,5,4,10.0.0.7
53324743,2,69,67,62,99,36,23,5,10.0.0.8
8816571,2,18,83,73,52,71,0,5,10.0.0.8
61866121,2,69,59,11,97,85,12,5,10.0.0.8
5798661,1,45,77,96,74,31,42,4,10.0.0.7
59707651,2,69,8,44,58,59,27,1,10.0.0.4
39029057,2,73,95,73,41,92,32,5,10.0.0.8
17867521,1,58,97,14,39,78,83,2,10.0.0.5
52760947,1,68,54,9,62,81,1,2,10.0.0.5
28704025,2,71,6,97,40,70,28,1,10.0.0.4
45766797,1,48,50,33,18,60,81,2,10.0.0.5
74704806,1,34,11,69,59,96,25,0,10.0.0.3
93135038,2,52,95,6,62,11,96,3,10.0.0.6
18290824,1,77,57,82,75,82,28,0,10.0.0.3
90434215,2,91,14,42,89,80,68,1,10.0.0.4
18368477,2,5,70,5,20,63,95,3,10.0.0.6
69806671,1,46,79,46,78,1,62,4,10.0.0.7
90290313,2,10,4,5,99,32,9,1,10.0.0.4
48161399,2,48,56,27,54,15,82,3,10.0.0.6
5680187,1,53,34,12,12,24,71,2,10.0.0.5
41273989,2,19,10,27,85,60,90,1,10.0.0.4
77089182,1,6,39,39,79,85,51,0,10.0.0.3
20821120,2,5,48,4,56,47,22,5,10.0.0.8
51485600,1,12,9,33,8,10,45,4,10.0.0.7
12944150,2,31,61,48,51,60,33,5,10.0.0.8
25355080,2,51,0,9,39,71,10,1,10.0.0.4
62746892,1,100,14,54,43,55,26,2,10.0.0.5
27084206,2,79,45,51,98,8,91,1,10.0.0.4
18415727,2,45,21,29,25,78,53,1,10.0.0.4
28410309,1,97,17,30,26,92,32,2,10.0.0.5
51717598,1,87,51,24,33,76,14,2,10.0.0.5
87014576,2,54,25,74,80,66,66,1,10.0.0.4
79593505,1,71,17,17,69,49,17,2,10.0.0.5
60619726,2,33,72,41,53,27,95,3,10.0.0.6
90169214,2,44,8,15,82,12,54,1,10.0.0.4
85858957,1,98,95,79,3,32,72,4,10.0.0.7
67289487,1,87,47,21,57,29,14,2,10.0.0.5
73478931,2,19,78,64,15,98,60,3,10.0.0.6
53635995,2,5,100,65,64,91,44,5,10.0.0.8
66076398,1,28,90,61,71,65,70,0,10.0.0.3
86363366,2,88,81,23,17,44,32,3,10.0.0.6
86290271,2,28,24,38,11,19,10,5,10.0.0.8
86470019,1,92,87,35,88,0,2,4,10.0.0.7
25065588,1,28,80,88,88,15,47,4,10.0.0.7
15658439,1,19,84,39,89,79,1,0,10.0.0.3
33613264,1,25,35,16,65,11,62,4,10.0.0.7
92947971,1,79,57,26,98,89,96,2,10.0.0.5
6367385,2,49,85,84,40,99,87,3,10.0.0.6
38591797,1,27,76,55,31,13,79,4,10.0.0.7
5207787,1,47,98,99,34,23,39,4,10.0.0.7
47322323,1,59,89,72,8,7,79,4,10.0.0.7
75385788,1,39,43,0,68,100,54,2,10.0.0.5
17477687,1,74,16,11,30,100,89,2,10.0.0.5
56380922,2,42,28,54,30,68,31,1,10.0.0.4
38208886,1,33,59,68,3,24,60,4,10.0.0.7
62141982,1,90,18,75,28,67,99,4,10.0.0.7
79735635,1,96,77,19,52,100,99,2,10.0.0.5
47570745,2,73,1,4,49,85,40,1,10.0.0.4
47564891,2,85,88,98,93,45,27,5,10.0.0.8
51466601,2,17,49,70,0,65,6,3,10.0.0.6
52986898,1,61,92,94,25,18,70,4,10.0.0.7
22677757,2,39,78,11,96,73,55,5,10.0.0.8
36607410,2,12,0,29,43,66,63,1,10.0.0.4
8294381,2,100,89,16,35,65,17,5,10.0.0.8
22192574,2,22,1,64,38,94,18,1,10.0.0.4
93024760,1,19,72,65,50,35,0,0,10.0.0.3
65970547,1,29,18,11,6,63,82,2,10.0.0.5
6278969,2,96,61,3,34,95,84,3,10.0.0.6
77995030,1,75,4,59,20,70,22,2,10.0.0.5
35062024,1,42,23,58,91,14,57,4,10.0.0.7
15682332,2,58,25,18,55,90,83,1,10.0.0.4
30847297,1,16,73,37,100,83,39,0,10.0.0.3
45468400,1,82,80,94,17,63,24,4,10.0.0.7
16708714,1,83,60,87,91,74,60,4,10.0.0.7
85308086,2,18,51,53,18,40,19,3,10.0.0.6
95817705,2,79,21,97,19,4,65,3,10.0.0.6
42626209,2,29,26,91,32,97,69,1,10.0.0.4
24900205,2,47,73,75,17,18,98,3,10.0.0.6
78234740,2,58,42,54,88,66,90,1,10.0.0.4
24187941,1,54,27,99,8,97,72,0,10.0.0.3
96574925,1,14,31,15,84,0,53,4,10.0.0.7
93464795,1,89,63,91,64,38,45,4,10.0.0.7
46347287,1,70,29,35,92,3,48,4,10.0.0.7
40283389,1,38,4,17,61,90,14,2,10.0.0.5
23227560,2,20,91,6,91,67,9,5,10.0.0.8
532151,1,62,82,75,47,82,78,0,10.0.0.3
91914443,2,62,98,46,65,67,54,5,10.0.0.8
7946916,2,43,29,46,41,22,28,5,10.0.0.8
79197912,2,58,10,95,17,26,9,5,10.0.0.8
54067443,2,63,88,8,80,83,6,5,10.0.0.8
78463442,2,23,66,59,85,11,41,5,10.0.0.8
4312159,2,43,28,41,44,92,6,5,10.0.0.8
45033302,2,74,51,34,88,45,48,5,10.0.0.8
61394214,2,73,9,5,70,88,72,1,10.0.0.4
6200821,2,10,58,76,47,86,54,3,10.0.0.6
55017667,2,51,62,48,84,54,56,5,10.0.0.8
60962000,1,30,60,90,41,83,16,0,10.0.0.3
5883082,2,99,80,1,70,57,93,3,10.0.0.6
57572611,2,27,28,80,36,51,60,1,10.0.0.4
79867778,2,46,24,73,95,62,37,1,10.0.0.4
2626193,1,69,21,81,57,50,57,4,10.0.0.7
87645377,1,21,32,56,84,31,62,0,10.0.0.3
62500008,1,6,31,86,56,47,97,0,10.0.0.3
73512174,1,65,80,84,99,19,14,4,10.0.0.7
88919218,1,74,9,15,67,99,7,2,10.0.0.5
22536562,2,69,18,54,47,53,99,1,10.0.0.4
47055014,1,89,44,58,2,72,63,2,10.0.0.5
32128323,1,46,62,55,50,21,84,4,10.0.0.7
36459632,1,21,24,56,63,36,70,0,10.0.0.3
5966623,2,84,86,49,64,7,76,3,10.0.0.6
62240310,2,61,79,9,88,94,21,5,10.0.0.8
51517434,2,19,55,61,73,23,20,5,10.0.0.8
92368230,1,54,52,92,63,90,6,0,10.0.0.3
81979448,2,6,55,2,85,73,15,5,10.0.0.8
73147202,1,100,11,95,97,21,53,4,10.0.0.7
82038792,1,15,7,1,8,100,67,2,10.0.0.5
69868455,1,26,2,31,62,53,26,0,10.0.0.3
55760737,2,54,2,2,49,76,88,1,10.0.0.4
7749205,2,86,18,58,89,21,2,5,10.0.0.8
67979127,2,32,70,44,54,15,28,5,10.0.0.8
10660380,1,47,19,28,78,87,34,2,10.0.0.5
56218745,1,74,87,19,79,20,89,2,10.0.0.5
49110563,1,78,58,97,21,47,81,4,10.0.0.7
97716291,1,30,63,13,54,83,49,2,10.0.0.5
1573750,1,89,33,24,12,61,82,2,10.0.0.5
38844444,2,20,49,41,87,35,31,5,10.0.0.8
18946880,2,36,39,77,33,18,32,5,10.0.0.8
74341318,1,94,68,56,54,63,96,2,10.0.0.5
94727317,2,34,72,11,69,94,57,5,10.0.0.8
35078643,1,74,36,20,36,29,3,2,10.0.0.5
25643511,1,95,42,30,39,66,82,2,10.0.0.5
34810046,2,79,59,55,56,87,27,5,10.0.0.8
54060340,2,52,66,24,48,48,95,3,10.0.0.6
64807126,1,6,9,100,46,42,58,0,10.0.0.3
93995862,2,20,40,40,98,74,23,5,10.0.0.8
3468299,2,75,51,74,27,43,48,3,10.0.0.6
91769956,1,20,47,81,67,2,28,4,10.0.0.7
18844036,2,43,28,2,13,65,40,3,10.0.0.6
28155530,2,55,14,85,56,35,23,1,10.0.0.4
918108,2,35,54,45,31,28,98,3,10.0.0.6
15913124,1,9,27,91,51,54,84,0,10.0.0.3
60196345,2,39,28,59,93,32,15,5,10.0.0.8
49693237,2,9,92,82,89,9,50,5,10.0.0.8
4344794,2,85,27,55,76,28,88,1,10.0.0.4
14260991,2,88,63,8,67,38,3,5,10.0.0.8
66225002,2,94,81,46,76,84,12,5,10.0.0.8
44928360,2,70,42,20,33,92,90,3,10.0.0.6
89908915,1,52,87,98,32,32,56,4,10.0.0.7
82656418,2,11,23,57,40,84,23,1,10.0.0.4
3469496,2,59,37,99,52,57,98,1,10.0.0.4
96995447,1,47,50,37,46,5,68,4,10.0.0.7
79858920,2,18,38,74,70,88,97,1,10.0.0.4
24924336,2,36,54,11,49,50,79,3,10.0.0.6
10607869,2,4,81,47,90,54,62,5,10.0.0.8
32137948,1,0,20,7,1,100,69,0,10.0.0.3
42704305,2,31,20,76,30,21,93,1,10.0.0.4
5291307,2,36,74,23,68,23,47,5,10.0.0.8
17567056,2,61,21,38,2,9,49,3,10.0.0.6
58368271,2,27,89,92,51,33,64,3,10.0.0.6
18593818,2,76,61,53,3,68,70,3,10.0.0.6
62588610,2,45,17,32,45,44,48,1,10.0.0.4
11761582,1,60,45,33,37,12,10,4,10.0.0.7
74378237,2,47,27,7,50,82,77,1,10.0.0.4
57745940,2,17,38,8,15,95,96,3,10.0.0.6
60445038,2,4,91,30,22,1,9,5,10.0.0.8
44456113,1,20,32,15,68,22,17,2,10.0.0.5
55529326,1,83,27,1,30,20,19,2,10.0.0.5
33754037,1,93,19,69,53,6,3,4,10.0.0.7
2544152,2,55,41,14,83,82,67,1,10.0.0.4
29339072,1,15,63,23,52,1,93,4,10.0.0.7
58772962,2,94,8,70,40,38,3,5,10.0.0.8
83395203,2,40,45,28,14,42,70,3,10.0.0.6
75911478,2,79,53,13,61,9,64,1,10.0.0.4
61815363,1,67,15,19,9,93,46,2,10.0.0.5
29955161,1,46,18,73,46,56,25,0,10.0.0.3
21234792,1,64,72,99,29,95,42,0,10.0.0.3
63177752,1,98,75,99,65,36,33,4,10.0.0.7
18863705,1,52,14,62,54,98,14,0,10.0.0.3
58062303,1,24,93,66,48,15,10,4,10.0.0.7
82349844,2,48,84,48,69,73,82,3,10.0.0.6
91552332,1,5,35,37,48,46,40,0,10.0.0.3
22429680,2,42,54,56,65,80,36,5,10.0.0.8
36092706,2,79,51,65,100,5,9,5,10.0.0.8
2839562,1,17,84,71,83,81,61,0,10.0.0.3
23333313,2,47,98,82,61,43,28,5,10.0.0.8
61924213,1,75,50,14,11,90,97,2,10.0.0.5
4055326,2,66,84,37,61,81,17,5,10.0.0.8
83526628,1,11,63,45,49,13,2,0,10.0.0.3
9650514,1,94,56,95,59,27,29,4,10.0.0.7
98306874,1,58,74,69,93,12,89,4,10.0.0.7
80355647,1,30,7,77,14,35,52,0,10.0.0.3
9805863,2,7,44,42,22,48,23,3,10.0.0.6
9654987,1,40,59,16,51,8,1,4,10.0.0.7
56999578,1,14,13,8,5,75,18,2,10.0.0.5
42923395,1,69,61,48,47,93,75,2,10.0.0.5
32979691,1,4,34,81,33,66,49,0,10.0.0.3
21401102,1,17,91,16,85,90,54,2,10.0.0.5
64739575,1,99,18,12,83,52,63,2,10.0.0.5
83579145,2,57,20,79,55,95,14,5,10.0.0.8
85450347,2,42,97,6,78,1,53,5,10.0.0.8
867135,2,73,82,49,47,22,69,3,10.0.0.6
28820525,1,91,34,53,85,54,52,2,10.0.0.5
82612690,1,91,9,31,25,80,44,2,10.0.0.5
20906052,2,71,12,1,57,19,83,1,10.0.0.4
40089313,2,79,80,69,53,68,62,3,10.0.0.6
36107954,2,34,47,24,83,43,20,5,10.0.0.8
51605212,1,99,18,52,20,35,61,4,10.0.0.7
48647312,2,48,7,1,17,74,95,1,10.0.0.4
55789240,1,66,86,9,31,92,99,2,10.0.0.5
52623281,1,36,48,95,3,46,97,0,10.0.0.3
80525286,1,1,28,85,30,26,11,0,10.0.0.3
3224848,1,88,24,16,84,51,17,2,10.0.0.5
52284116,1,67,90,51,63,44,91,4,10.0.0.7
23309368,2,92,70,2,35,9,3,5,10.0.0.8
57212326,2,52,67,100,83,77,40,5,10.0.0.8
88604366,2,40,13,12,29,84,57,1,10.0.0.4
76656038,1,2,26,36,12,51,69,0,10.0.0.3
51301400,1,19,9,83,47,8,34,4,10.0.0.7
10786584,1,48,85,94,13,99,29,0,10.0.0.3
4381228,2,59,84,24,51,26,60,3,10.0.0.6
48126670,1,94,77,78,7,24,75,4,10.0.0.7
25125653,1,16,42,48,60,39,31,0,10.0.0.3
58290927,2,6,48,75,2,48,40,3,10.0.0.6
61006270,2,49,36,4,7,36,3,5,10.0.0.8
87152198,2,99,6,50,26,70,37,1,10.0.0.4
43297732,2,61,3,49,49,58,21,1,10.0.0.4
58670694,1,54,99,83,1,21,54,4,10.0.0.7
87620444,1,1,61,60,31,24,4,0,10.0.0.3
85714319,1,75,21,41,78,70,55,2,10.0.0.5
92227191,1,43,72,56,5,43,66,0,10.0.0.3
93910799,2,99,64,74,52,19,100,3,10.0.0.6
46014775,1,19,2,46,100,14,10,4,10.0.0.7
65511878,1,47,30,11,82,28,42,2,10.0.0.5
58252876,1,34,92,1,30,61,80,2,10.0.0.5
75202537,1,16,4,32,2,84,52,0,10.0.0.3
95959624,2,90,75,16,14,84,83,3,10.0.0.6
16079791,1,16,25,26,11,14,70,4,10.0.0.7
37452272,2,33,5,33,1,69,0,5,10.0.0.8
7147373,1,1,0,72,44,66,99,0,10.0.0.3
9497743,1,94,62,83,2,72,67,4,10.0.0.7
84862114,2,46,28,5,32,33,45,1,10.0.0.4
55437418,1,19,73,27,91,43,9,0,10.0.0.3
13861628,2,89,59,24,6,6,61,3,10.0.0.6
93625503,1,58,86,33,37,92,54,2,10.0.0.5
64216014,1,8,74,91,47,31,37,0,10.0.0.3
73164829,2,99,51,3,22,81,83,3,10.0.0.6
12380709,1,1,27,10,34,49,69,0,10.0.0.3
54878001,1,78,80,100,44,62,58,4,10.0.0.7
55042736,1,22,11,46,39,91,38,0,10.0.0.3
23028888,2,16,67,1,67,30,25,5,10.0.0.8
81697134,2,70,44,70,61,8,68,1,10.0.0.4
72265171,1,32,67,38,46,27,5,4,10.0.0.7
9077526,2,71,49,69,100,77,40,5,10.0.0.8
73872108,1,92,73,90,67,42,70,4,10.0.0.7
23189014,1,62,52,23,76,92,67,2,10.0.0.5
57320104,1,71,20,43,85,39,54,4,10.0.0.7
80800281,1,33,51,10,52,78,68,2,10.0.0.5
16761905,2,23,52,8,5,85,11,3,10.0.0.6
20731096,1,46,57,18,32,66,40,2,10.0.0.5
47027700,2,23,28,28,31,19,77,1,10.0.0.4
